HGNC ID	Approved Symbol	Approved Name	RefSeq IDs	Entrez Gene ID(supplied by NCBI)	RefSeq(supplied by NCBI)
HGNC:37917	EEF1A1P39	eukaryotic translation elongation factor 1 alpha 1 pseudogene 39	NG_032140	100862850	NG_032140
HGNC:37918	EEF1A1P40	eukaryotic translation elongation factor 1 alpha 1 pseudogene 40		100874490	NG_032199
HGNC:38799	EEF1A1P41	eukaryotic translation elongation factor 1 alpha 1 pseudogene 41		100874491	NG_032218
HGNC:48927	EEF1A1P42	eukaryotic translation elongation factor 1 alpha 1 pseudogene 42		442215	NG_022298
HGNC:3193	EEF1A1P43	eukaryotic translation elongation factor 1 alpha 1 pseudogene 43	NG_032985	1918	NG_032985
HGNC:3192	EEF1A2	eukaryotic translation elongation factor 1 alpha 2	NM_001958	1917	NM_001958
HGNC:27351	EEF1AKMT1	EEF1A lysine methyltransferase 1	NM_174928	221143	NM_001318939
HGNC:33787	EEF1AKMT2	EEF1A lysine methyltransferase 2	NM_212554	399818	NM_001304467
HGNC:24936	EEF1AKMT3	EEF1A lysine methyltransferase 3	NM_015433	25895	NM_015433
HGNC:53611	EEF1AKMT4	EEF1A lysine methyltransferase 4		110599564	NM_032331
HGNC:53615	EEF1AKMT4-ECE2	EEF1AKMT4-ECE2 readthrough		110599583	NM_014693
HGNC:24248	EEF1AKNMT	eEF1A lysine and N-terminal methyltransferase	NM_014955	51603	NM_001007239
HGNC:3208	EEF1B2	eukaryotic translation elongation factor 1 beta 2	NM_001037663	1933	NM_001037663
HGNC:3207	EEF1B2P1	eukaryotic translation elongation factor 1 beta 2 pseudogene 1	NG_003045	1932	NG_003045
HGNC:3209	EEF1B2P2	eukaryotic translation elongation factor 1 beta 2 pseudogene 2	NG_003038	1934	NG_003038
HGNC:3210	EEF1B2P3	eukaryotic translation elongation factor 1 beta 2 pseudogene 3	NG_008008	644820	NG_008008
HGNC:32475	EEF1B2P4	eukaryotic translation elongation factor 1 beta 2 pseudogene 4	NG_021699	100130631	NG_021699
HGNC:32476	EEF1B2P5	eukaryotic translation elongation factor 1 beta 2 pseudogene 5		442227	NG_029026
HGNC:51453	EEF1B2P6	eukaryotic translation elongation factor 1 beta 2 pseudogene 6		647030	NG_022904
HGNC:51454	EEF1B2P7	eukaryotic translation elongation factor 1 beta 2 pseudogene 7		100421756	NG_011847
HGNC:51455	EEF1B2P8	eukaryotic translation elongation factor 1 beta 2 pseudogene 8		100421774	NG_025661
HGNC:3211	EEF1D	eukaryotic translation elongation factor 1 delta	NM_032378	1936	NM_001130053
HGNC:32474	EEF1DP1	eukaryotic translation elongation factor 1 delta pseudogene 1		126037	NG_006512
HGNC:33523	EEF1DP2	eukaryotic translation elongation factor 1 delta pseudogene 2	NG_006527	442429	NG_006527
HGNC:30486	EEF1DP3	eukaryotic translation elongation factor 1 delta pseudogene 3	NR_027062	196549	NR_027062
HGNC:22598	EEF1DP4	eukaryotic translation elongation factor 1 delta pseudogene 4		442325	NG_006526
HGNC:33524	EEF1DP5	eukaryotic translation elongation factor 1 delta pseudogene 5	NG_006525	442258	NG_006525
HGNC:51456	EEF1DP6	eukaryotic translation elongation factor 1 delta pseudogene 6		644357	NG_006533
HGNC:51457	EEF1DP7	eukaryotic translation elongation factor 1 delta pseudogene 7		100422656	NG_026262
HGNC:51458	EEF1DP8	eukaryotic translation elongation factor 1 delta pseudogene 8		283236	NG_006515
HGNC:3212	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1	NM_004280	9521	NM_001135650
HGNC:49187	EEF1E1-BLOC1S5	EEF1E1-BLOC1S5 readthrough (NMD candidate)		100526837	NR_037618
HGNC:51459	EEF1E1P1	eukaryotic translation elongation factor 1 epsilon 1 pseudogene 1		100130388	NG_008760
HGNC:3213	EEF1G	eukaryotic translation elongation factor 1 gamma	NM_001404	1937	NM_001404
HGNC:44556	EEF1GP1	eukaryotic translation elongation factor 1 gamma pseudogene 1		646837	NG_009408
HGNC:44557	EEF1GP2	eukaryotic translation elongation factor 1 gamma pseudogene 2		100130260	NG_021900
HGNC:44558	EEF1GP3	eukaryotic translation elongation factor 1 gamma pseudogene 3		651628	NG_022201
HGNC:44559	EEF1GP4	eukaryotic translation elongation factor 1 gamma pseudogene 4		100129403	NG_022225
HGNC:44560	EEF1GP5	eukaryotic translation elongation factor 1 gamma pseudogene 5		642357	NG_022907
HGNC:44561	EEF1GP6	eukaryotic translation elongation factor 1 gamma pseudogene 6		100421733	NG_025966
HGNC:44562	EEF1GP7	eukaryotic translation elongation factor 1 gamma pseudogene 7		645311	NG_022779
HGNC:44563	EEF1GP8	eukaryotic translation elongation factor 1 gamma pseudogene 8		391698	NG_022079
HGNC:3214	EEF2	eukaryotic translation elongation factor 2	NM_001961	1938	NM_001961
HGNC:24615	EEF2K	eukaryotic elongation factor 2 kinase	NM_013302	29904	NM_013302
HGNC:32221	EEF2KMT	eukaryotic elongation factor 2 lysine methyltransferase	NM_201400	196483	NM_001289029
HGNC:24614	EEFSEC	eukaryotic elongation factor, selenocysteine-tRNA specific	NM_021937	60678	NM_021937
HGNC:3215	EEGV1	electro-encephalographic variant pattern 1		1940	
HGNC:3216	EEK~withdrawn	symbol withdrawn, see EPHA8			
HGNC:22223	EEPD1	endonuclease/exonuclease/phosphatase family domain containing 1	NM_030636	80820	NM_030636
HGNC:25678	EFCAB1	EF-hand calcium binding domain 1	NM_024593	79645	NM_001142857
HGNC:28166	EFCAB2	EF-hand calcium binding domain 2		84288	NM_001143943
HGNC:26379	EFCAB3	EF-hand calcium binding domain 3	NM_173503	146779	NM_001144933
HGNC:24801	EFCAB5	EF-hand calcium binding domain 5	NM_198529	374786	NM_001145053
HGNC:24204	EFCAB6	EF-hand calcium binding domain 6	NM_022785	64800	NM_022785
HGNC:39999	EFCAB6-AS1	EFCAB6 antisense RNA 1	NR_046563	100874197	NR_046563
HGNC:29379	EFCAB7	EF-hand calcium binding domain 7	NM_032437	84455	NM_032437
HGNC:34532	EFCAB8	EF-hand calcium binding domain 8	XM_371397	388795	NM_001143967
HGNC:34530	EFCAB9	EF-hand calcium binding domain 9	NM_001171183	285588	NM_001171183
HGNC:34531	EFCAB10	EF-hand calcium binding domain 10	NM_001355531	100130771	NM_001355526
HGNC:20357	EFCAB11	EF-hand calcium binding domain 11	NM_145231	90141	NM_001284266
HGNC:28061	EFCAB12	EF-hand calcium binding domain 12	NM_207307	90288	NM_207307
HGNC:26864	EFCAB13	EF-hand calcium binding domain 13	NM_152347	124989	NM_001195192
HGNC:29051	EFCAB14	EF-hand calcium binding domain 14	NM_014774	9813	NM_014774
HGNC:44108	EFCAB14-AS1	EFCAB14 antisense RNA 1	NR_038827	100130197	NR_038827
HGNC:44648	EFCAB14P1	EF-hand calcium binding domain 14 pseudogene 1		106479047	NG_044476
HGNC:25692	EFCC1	EF-hand and coiled-coil domain containing 1	NM_024768	79825	NM_024768
HGNC:3217	EFE2~withdrawn	symbol withdrawn, see TAZ			
HGNC:3218	EFEMP1	EGF containing fibulin extracellular matrix protein 1		2202	NM_001039348
HGNC:3219	EFEMP2	EGF containing fibulin extracellular matrix protein 2	NM_016938	30008	NM_016938
HGNC:26330	EFHB	EF-hand domain family member B	NM_144715	151651	NM_001330688
HGNC:16406	EFHC1	EF-hand domain containing 1	NM_018100	114327	NM_001172420
HGNC:26233	EFHC2	EF-hand domain containing 2	NM_025184	80258	NM_025184
HGNC:29556	EFHD1	EF-hand domain family member D1	NM_025202	80303	NM_001243252
HGNC:28670	EFHD2	EF-hand domain family member D2	NM_024329	79180	NM_024329
HGNC:25789	EFL1	elongation factor like GTPase 1	NM_024580	79631	NM_001040610
HGNC:31739	EFL1P1	elongation factor like GTPase 1 pseudogene 1	NR_036652	648809	NR_036652
HGNC:44202	EFL1P2	elongation factor like GTPase 1 pseudogene 2		100422019	NG_025113
HGNC:3220	EFMR~withdrawn	symbol withdrawn, see PCDH19			
HGNC:3221	EFNA1	ephrin A1	NM_004428	1942	NM_004428
HGNC:3222	EFNA2	ephrin A2	NM_001405	1943	NM_001405
HGNC:3223	EFNA3	ephrin A3	NM_004952	1944	NM_004952
HGNC:3224	EFNA4	ephrin A4	NM_005227	1945	NM_005227
HGNC:3225	EFNA5	ephrin A5	NM_001962	1946	NM_001962
HGNC:3226	EFNB1	ephrin B1	NM_004429	1947	NM_004429
HGNC:3227	EFNB2	ephrin B2	NM_004093	1948	NM_004093
HGNC:3228	EFNB3	ephrin B3	NM_001406	1949	NM_001406
HGNC:28970	EFR3A	EFR3 homolog A	NM_015137	23167	NM_001323553
HGNC:29155	EFR3B	EFR3 homolog B	NM_014971	22979	NM_001319099
HGNC:16898	EFS	embryonal Fyn-associated substrate		10278	NM_001277174
HGNC:30858	EFTUD2	elongation factor Tu GTP binding domain containing 2	NM_004247	9343	NM_001142605
HGNC:3229	EGF	epidermal growth factor		1950	NM_001178130
HGNC:25149	EGFEM1P	EGF like and EMI domain containing 1, pseudogene	NR_021485	93556	NR_021485
HGNC:14309	EGFL1~withdrawn	symbol withdrawn, see CELSR3			
HGNC:14308	EGFL2~withdrawn	symbol withdrawn, see CELSR2			
HGNC:3235	EGFL6	EGF like domain multiple 6	NM_015507	25975	NM_001167890
HGNC:20594	EGFL7	EGF like domain multiple 7	NM_016215	51162	NM_016215
HGNC:13944	EGFL8	EGF like domain multiple 8	NM_030652	80864	NM_030652
HGNC:21554	EGFL10~withdrawn	symbol withdrawn, see EYS			
HGNC:26810	EGFLAM	EGF like, fibronectin type III and laminin G domains	NM_152403	133584	NM_001205301
HGNC:41169	EGFLAM-AS1	EGFLAM antisense RNA 1		100874117	
HGNC:41168	EGFLAM-AS2	EGFLAM antisense RNA 2		100506475	NR_102749
HGNC:41167	EGFLAM-AS3	EGFLAM antisense RNA 3		100874116	
HGNC:41166	EGFLAM-AS4	EGFLAM antisense RNA 4		100852408	NR_046219
HGNC:3236	EGFR	epidermal growth factor receptor	NM_005228	1956	NM_001346897
HGNC:40207	EGFR-AS1	EGFR antisense RNA 1	NR_047551	100507500	NR_047551
HGNC:3237	EGI	epilepsy, generalized, idiopathic		1957	
HGNC:1232	EGLN1	egl-9 family hypoxia inducible factor 1	NM_022051	54583	NM_022051
HGNC:44481	EGLN1P1	egl-9 family hypoxia inducible factor 1 pseudogene 1		106660614	NG_046711
HGNC:14660	EGLN2	egl-9 family hypoxia inducible factor 2		112398	NM_053046
HGNC:14661	EGLN3	egl-9 family hypoxia inducible factor 3		112399	NM_001308103
HGNC:49077	EGLN3-AS1	EGLN3 antisense RNA 1		105370445	XR_943736
HGNC:49857	EGLN3P1	egl-9 family hypoxia-inducible factor 3 pseudogene 1		100420503	NG_023986
HGNC:37129	EGOT	eosinophil granule ontogeny transcript	NR_004428	100126791	NR_004428
HGNC:3238	EGR1	early growth response 1	NM_001964	1958	NM_001964
HGNC:3239	EGR2	early growth response 2	NM_000399	1959	NM_000399
HGNC:3240	EGR3	early growth response 3	NM_004430	1960	NM_001199880
HGNC:3241	EGR4	early growth response 4	NM_001965	1961	NM_001965
HGNC:29144	EHBP1	EH domain binding protein 1	NM_015252	23301	NM_001142614
HGNC:30682	EHBP1L1	EH domain binding protein 1 like 1	XM_170658	254102	NM_001099409
HGNC:3242	EHD1	EH domain containing 1	NM_006795	10938	NM_001282444
HGNC:3243	EHD2	EH domain containing 2		30846	NM_014601
HGNC:3244	EHD3	EH domain containing 3	NM_014600	30845	NM_014600
HGNC:3245	EHD4	EH domain containing 4	NM_139265	30844	NM_139265
HGNC:51418	EHD4-AS1	EHD4 antisense RNA 1	NR_120332	101928363	NR_120332
HGNC:3246	EHF	ETS homologous factor	NM_012153	26298	NM_001206615
HGNC:3247	EHHADH	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase		1962	NM_001166415
HGNC:44133	EHHADH-AS1	EHHADH antisense RNA 1	NR_038990	339926	NR_038990
HGNC:3248	EHK1~withdrawn	symbol withdrawn, see KRT1			
HGNC:24650	EHMT1	euchromatic histone lysine methyltransferase 1	NM_024757	79813	NM_001145527
HGNC:48714	EHMT1-IT1~withdrawn	symbol withdrawn, see EHMT1			
HGNC:14129	EHMT2	euchromatic histone lysine methyltransferase 2	NM_006709	10919	NM_001289413
HGNC:39751	EHMT2-AS1	EHMT2 and SLC44A4 antisense RNA 1		106478954	
HGNC:13276	EI24	EI24, autophagy associated transmembrane protein	NM_004879	9538	NM_001290135
HGNC:44586	EI24P1	EI24, autophagy associated transmembrane protein pseudogene 1		100129423	NG_030107
HGNC:44587	EI24P2	EI24, autophagy associated transmembrane protein pseudogene 2		100129866	NG_022809
HGNC:44588	EI24P3	EI24, autophagy associated transmembrane protein pseudogene 3		100131881	NG_022202
HGNC:44589	EI24P4	EI24, autophagy associated transmembrane protein pseudogene 4		100420072	NG_026648
HGNC:44590	EI24P5	EI24, autophagy associated transmembrane protein pseudogene 5		100533660	NG_028885
HGNC:1191	EID1	EP300 interacting inhibitor of differentiation 1	NM_014335	23741	NM_014335
HGNC:28292	EID2	EP300 interacting inhibitor of differentiation 2	NM_153232	163126	NM_153232
HGNC:26796	EID2B	EP300 interacting inhibitor of differentiation 2B	NM_152361	126272	NM_152361
HGNC:32961	EID3	EP300 interacting inhibitor of differentiation 3	NM_001008394	493861	NM_001008394
HGNC:3249	EIF1	eukaryotic translation initiation factor 1	NM_005801	10209	NM_005801
HGNC:3251	EIF1A~withdrawn	symbol withdrawn, see EIF1AX			
HGNC:28147	EIF1AD	eukaryotic translation initiation factor 1A domain containing	NM_032325	84285	NM_001242481
HGNC:3250	EIF1AX	eukaryotic translation initiation factor 1A X-linked		1964	NM_001412
HGNC:40208	EIF1AX-AS1	EIF1AX antisense RNA 1		100874078	NR_046592
HGNC:19900	EIF1AXP1	EIF1AX pseudogene 1	NG_002419	280661	NG_002419
HGNC:44295	EIF1AXP2	EIF1AX pseudogene 2		106479036	NG_044391
HGNC:3252	EIF1AY	eukaryotic translation initiation factor 1A Y-linked	NM_004681	9086	NM_001278612
HGNC:30792	EIF1B	eukaryotic translation initiation factor 1B	NM_005875	10289	NM_005875
HGNC:44555	EIF1B-AS1	EIF1B antisense RNA 1	NR_033965	440952	NR_033965
HGNC:49614	EIF1P1	eukaryotic translation initiation factor 1 pseudogene 1	NG_030090	100505855	NG_016331
HGNC:49615	EIF1P2	eukaryotic translation initiation factor 1 pseudogene 2	NG_030194	100288425	NG_030194
HGNC:49616	EIF1P3	eukaryotic translation initiation factor 1 pseudogene 3	NG_027543	730144	NG_027543
HGNC:49617	EIF1P4	eukaryotic translation initiation factor 1 pseudogene 4	NG_030244	100130566	NG_030244
HGNC:49618	EIF1P5	eukaryotic translation initiation factor 1 pseudogene 5		106481690	NG_043125
HGNC:49619	EIF1P6	eukaryotic translation initiation factor 1 pseudogene 6		106480277	NG_045130
HGNC:49620	EIF1P7	eukaryotic translation initiation factor 1 pseudogene 7		106481691	NG_045021
HGNC:3253	EIF2~withdrawn	symbol withdrawn, see EIF2S1			
HGNC:3254	EIF2A	eukaryotic translation initiation factor 2A	NM_032025	83939	NM_001319043
HGNC:24921	EIF2AK1	eukaryotic translation initiation factor 2 alpha kinase 1	NM_014413	27102	NM_001134335
HGNC:9437	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2	NM_002759	5610	NM_001135651
HGNC:3255	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3	NM_004836	9451	NM_001313915
HGNC:19687	EIF2AK4	eukaryotic translation initiation factor 2 alpha kinase 4		440275	NM_001013703
HGNC:39495	EIF2AP1	eukaryotic translation initiation factor 2A pseudogene 1		100874393	NG_032308
HGNC:39496	EIF2AP2	eukaryotic translation initiation factor 2A pseudogene 2		100874394	NG_032309
HGNC:39497	EIF2AP3	eukaryotic translation initiation factor 2A pseudogene 3		100874395	NG_032310
HGNC:39498	EIF2AP4	eukaryotic translation initiation factor 2A pseudogene 4		100874401	NG_032311
HGNC:3256	EIF2B~withdrawn	symbol withdrawn, see EIF2B1			
HGNC:3257	EIF2B1	eukaryotic translation initiation factor 2B subunit alpha	NM_001414	1967	NM_001414
HGNC:3258	EIF2B2	eukaryotic translation initiation factor 2B subunit beta	NM_014239	8892	NM_014239
HGNC:3259	EIF2B3	eukaryotic translation initiation factor 2B subunit gamma	NM_020365	8891	NM_001166588
HGNC:3260	EIF2B4	eukaryotic translation initiation factor 2B subunit delta		8890	NM_001034116
HGNC:3261	EIF2B5	eukaryotic translation initiation factor 2B subunit epsilon		8893	NM_003907
HGNC:6583	EIF2D	eukaryotic translation initiation factor 2D	NM_006893	1939	NM_001201478
HGNC:3264	EIF2G~withdrawn	symbol withdrawn, see EIF2S3			
HGNC:3265	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha	NM_004094	1965	NM_004094
HGNC:3266	EIF2S2	eukaryotic translation initiation factor 2 subunit beta	NM_003908	8894	NM_001316363
HGNC:20009	EIF2S2P1	eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 1		319115	NG_002496
HGNC:24654	EIF2S2P2	eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 2	NG_002696	347673	NG_002696
HGNC:31664	EIF2S2P3	eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 3		283014	NG_005657
HGNC:37626	EIF2S2P4	eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 4	NG_005660.3	728350	NG_005660
HGNC:37793	EIF2S2P5	eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 5	NG_002698	347675	NG_002698
HGNC:37794	EIF2S2P6	eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 6		100129629	NG_022982
HGNC:37795	EIF2S2P7	eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 7		647016	NG_021500
HGNC:3267	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma	NM_001415	1968	NM_001415
HGNC:43863	EIF2S3B	eukaryotic translation initiation factor 2 subunit gamma B	NM_001357731	255308	NM_001357731
HGNC:3268	EIF3~withdrawn	symbol withdrawn, see EIF3A			
HGNC:3271	EIF3A	eukaryotic translation initiation factor 3 subunit A	NM_003750	8661	NM_003750
HGNC:3269	EIF3A~withdrawn	symbol withdrawn, see EIF6			
HGNC:3280	EIF3B	eukaryotic translation initiation factor 3 subunit B		8662	NM_001037283
HGNC:3279	EIF3C	eukaryotic translation initiation factor 3 subunit C	NM_003752	8663	NM_001037808
HGNC:26347	EIF3CL	eukaryotic translation initiation factor 3 subunit C like		728689	NM_001099661
HGNC:3278	EIF3D	eukaryotic translation initiation factor 3 subunit D		8664	NM_003753
HGNC:3277	EIF3E	eukaryotic translation initiation factor 3 subunit E	NM_001568	3646	NM_001568
HGNC:6102	EIF3EP1	eukaryotic translation initiation factor 3 subunit E pseudogene 1	NG_001023	3647	NG_001023
HGNC:37919	EIF3EP2	eukaryotic translation initiation factor 3 subunit E pseudogene 2		100132597	NG_023025
HGNC:37920	EIF3EP3	eukaryotic translation initiation factor 3 subunit E pseudogene 3	NG_021590	100462836	NG_021590
HGNC:37921	EIF3EP4	eukaryotic translation initiation factor 3 subunit E pseudogene 4	NG_022232	100422200	NG_022232
HGNC:3275	EIF3F	eukaryotic translation initiation factor 3 subunit F	NM_003754	8665	NM_003754
HGNC:3276	EIF3FP1	eukaryotic translation initiation factor 3 subunit F pseudogene 1		54053	NG_000925
HGNC:28863	EIF3FP2	eukaryotic translation initiation factor 3 subunit F pseudogene 2		83880	NG_005632
HGNC:37625	EIF3FP3	eukaryotic translation initiation factor 3 subunit F pseudogene 3	NG_006949.2	339799	NG_006949
HGNC:3274	EIF3G	eukaryotic translation initiation factor 3 subunit G		8666	NM_003755
HGNC:3273	EIF3H	eukaryotic translation initiation factor 3 subunit H	NM_003756	8667	NM_003756
HGNC:3272	EIF3I	eukaryotic translation initiation factor 3 subunit I	NM_003757	8668	NM_003757
HGNC:13277	EIF3IP1	eukaryotic translation initiation factor 3 subunit I pseudogene 1	NR_003024	442720	NR_003024
HGNC:3270	EIF3J	eukaryotic translation initiation factor 3 subunit J	NM_003758	8669	NM_001284335
HGNC:48616	EIF3J-DT	EIF3J divergent transcript	NR_034170	645212	NR_034170
HGNC:24656	EIF3K	eukaryotic translation initiation factor 3 subunit K	NM_013234	27335	NM_001300992
HGNC:44016	EIF3KP1	eukaryotic translation initiation factor 3 subunit K pseudogene 1		134505	NG_022888
HGNC:44017	EIF3KP2	eukaryotic translation initiation factor 3 subunit K pseudogene 2		100129045	NG_022242
HGNC:44018	EIF3KP3	eukaryotic translation initiation factor 3 subunit K pseudogene 3		645368	NG_022029
HGNC:18138	EIF3L	eukaryotic translation initiation factor 3 subunit L	NM_016091	51386	NM_001242923
HGNC:20010	EIF3LP1	eukaryotic translation initiation factor 3 subunit L pseudogene 1	NG_002498	319117	NG_002498
HGNC:24657	EIF3LP2	eukaryotic translation initiation factor 3 subunit L pseudogene 2	NG_001544	143341	NG_001544
HGNC:44976	EIF3LP3	eukaryotic translation initiation factor 3 subunit L pseudogene 3	NG_022143	340947	NG_022143
HGNC:24460	EIF3M	eukaryotic translation initiation factor 3 subunit M	NM_006360	10480	NM_001307929
HGNC:3281	EIF4~withdrawn	entry withdrawn			
HGNC:3282	EIF4A1	eukaryotic translation initiation factor 4A1	NM_001416	1973	NM_001204510
HGNC:3283	EIF4A1P1	eukaryotic translation initiation factor 4A1 pseudogene 1	NG_000924.4	54052	NG_000924
HGNC:23946	EIF4A1P2	eukaryotic translation initiation factor 4A1 pseudogene 2	NG_002809	359792	NG_002809
HGNC:37922	EIF4A1P3	eukaryotic translation initiation factor 4A1 pseudogene 3	NG_021637	100462824	NG_021637
HGNC:37923	EIF4A1P4	eukaryotic translation initiation factor 4A1 pseudogene 4	XR_015801	728698	NG_021721
HGNC:37924	EIF4A1P5	eukaryotic translation initiation factor 4A1 pseudogene 5	NG_011401	390394	NG_011401
HGNC:37925	EIF4A1P6	eukaryotic translation initiation factor 4A1 pseudogene 6		390407	NG_022897
HGNC:37926	EIF4A1P7	eukaryotic translation initiation factor 4A1 pseudogene 7	NG_011333	341784	NG_011333
HGNC:37927	EIF4A1P8	eukaryotic translation initiation factor 4A1 pseudogene 8	NG_022188	100289102	NG_022188
HGNC:37928	EIF4A1P9	eukaryotic translation initiation factor 4A1 pseudogene 9	NG_022440	642746	NG_022440
HGNC:37930	EIF4A1P10	eukaryotic translation initiation factor 4A1 pseudogene 10	NG_022621	100421533	NG_016251
HGNC:37932	EIF4A1P11	eukaryotic translation initiation factor 4A1 pseudogene 11		100130006	NG_028242
HGNC:37933	EIF4A1P12	eukaryotic translation initiation factor 4A1 pseudogene 12	NG_022856	100462830	NG_022856
HGNC:37934	EIF4A1P13	eukaryotic translation initiation factor 4A1 pseudogene 13	NG_022543	100462826	NG_022543
HGNC:3284	EIF4A2	eukaryotic translation initiation factor 4A2	NM_001967	1974	NM_001967
HGNC:37929	EIF4A2P1	eukaryotic translation initiation factor 4A2 pseudogene 1		646171	NG_022488
HGNC:45099	EIF4A2P2	eukaryotic translation initiation factor 4A2 pseudogene 2	NG_025519	100421579	NG_025519
HGNC:45100	EIF4A2P3	eukaryotic translation initiation factor 4A2 pseudogene 3	NG_021786	100133309	NG_021786
HGNC:45101	EIF4A2P4	eukaryotic translation initiation factor 4A2 pseudogene 4	NG_022602	286512	NG_022602
HGNC:45102	EIF4A2P5	eukaryotic translation initiation factor 4A2 pseudogene 5		106480446	NG_043426
HGNC:18683	EIF4A3	eukaryotic translation initiation factor 4A3	NM_014740	9775	NM_014740
HGNC:51460	EIF4A3P1	eukaryotic translation initiation factor 4A3 pseudogene 1		390843	NG_022484
HGNC:3285	EIF4B	eukaryotic translation initiation factor 4B	NM_001417	1975	NM_001300821
HGNC:19929	EIF4BP1	eukaryotic translation initiation factor 4B pseudogene 1	NG_002499	319118	NG_002499
HGNC:37935	EIF4BP2	eukaryotic translation initiation factor 4B pseudogene 2		100129337	NG_017092
HGNC:37936	EIF4BP3	eukaryotic translation initiation factor 4B pseudogene 3	XR_037860	100128771	NG_021667
HGNC:37937	EIF4BP4	eukaryotic translation initiation factor 4B pseudogene 4		100130064	NG_022954
HGNC:37938	EIF4BP5	eukaryotic translation initiation factor 4B pseudogene 5	NG_022504	100421528	NG_016598
HGNC:37939	EIF4BP6	eukaryotic translation initiation factor 4B pseudogene 6	NG_005592	645579	NG_005592
HGNC:37940	EIF4BP7	eukaryotic translation initiation factor 4B pseudogene 7	XR_039149	643873	NG_022961
HGNC:37941	EIF4BP8	eukaryotic translation initiation factor 4B pseudogene 8	XR_078291	339881	NG_022269
HGNC:37942	EIF4BP9	eukaryotic translation initiation factor 4B pseudogene 9	NG_022999	100129692	NG_022999
HGNC:3286	EIF4C~withdrawn	symbol withdrawn, see EIF1AX			
HGNC:3287	EIF4E	eukaryotic translation initiation factor 4E	NM_001968	1977	NM_001130678
HGNC:33179	EIF4E1B	eukaryotic translation initiation factor 4E family member 1B	NM_001099408	253314	NM_001099408
HGNC:3293	EIF4E2	eukaryotic translation initiation factor 4E family member 2	NM_004846	9470	NM_001276336
HGNC:16237	EIF4E2P1	eukaryotic translation initiation factor 4E family member 2 pseudogene 1	NG_005202	128770	NG_005202
HGNC:51464	EIF4E2P2	eukaryotic translation initiation factor 4E family member 2 pseudogene 2		645207	NG_022265
HGNC:31837	EIF4E3	eukaryotic translation initiation factor 4E family member 3	NM_173359	317649	NM_001134649
HGNC:3288	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	NM_004095	1978	NM_004095
HGNC:20160	EIF4EBP1P1	eukaryotic translation initiation factor 4E binding protein 1 pseudogene 1		326295	NG_002547
HGNC:44047	EIF4EBP1P2	eukaryotic translation initiation factor 4E binding protein 1 pseudogene 2	NG_005781	768328	NG_005781
HGNC:3289	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2	NM_004096	1979	NM_004096
HGNC:16596	EIF4EBP2P1	eukaryotic translation initiation factor 4E binding protein 2 pseudogene 1	NG_001034	170510	NG_001034
HGNC:49317	EIF4EBP2P2	eukaryotic translation initiation factor 4E binding protein 2 pseudogene 2		100190923	NG_008682
HGNC:49318	EIF4EBP2P3	eukaryotic translation initiation factor 4E binding protein 2 pseudogene 3		100190924	NG_008683
HGNC:3290	EIF4EBP3	eukaryotic translation initiation factor 4E binding protein 3	NM_003732	8637	NM_003732
HGNC:3291	EIF4EL1~withdrawn	symbol withdrawn, see EIF4E			
HGNC:16687	EIF4ENIF1	eukaryotic translation initiation factor 4E nuclear import factor 1	NM_019843	56478	NM_001164501
HGNC:3292	EIF4EP1	eukaryotic translation initiation factor 4E pseudogene 1		1980	NG_002658
HGNC:32428	EIF4EP2	eukaryotic translation initiation factor 4E pseudogene 2	NG_023334	100131693	NG_023334
HGNC:51461	EIF4EP3	eukaryotic translation initiation factor 4E pseudogene 3		100132918	NG_022231
HGNC:51462	EIF4EP4	eukaryotic translation initiation factor 4E pseudogene 4		100421455	NG_026487
HGNC:51463	EIF4EP5	eukaryotic translation initiation factor 4E pseudogene 5		100131565	NG_008899
HGNC:3294	EIF4F~withdrawn	symbol withdrawn, see EIF4E, EIF4A2 and EIF4G1			
HGNC:3295	EIF4G~withdrawn	symbol withdrawn, see EIF4G1			
HGNC:3296	EIF4G1	eukaryotic translation initiation factor 4 gamma 1	NM_182917	1981	NM_001194946
HGNC:3297	EIF4G2	eukaryotic translation initiation factor 4 gamma 2	NM_001418	1982	NM_001042559
HGNC:3298	EIF4G3	eukaryotic translation initiation factor 4 gamma 3	NM_003760	8672	NM_001198801
HGNC:12741	EIF4H	eukaryotic translation initiation factor 4H	NM_022170	7458	NM_022170
HGNC:49035	EIF4HP1	eukaryotic translation initiation factor 4H pseudogene 1		401316	NG_004756
